direction,session_id,quality,start_15,start_16,start_17,start_18,start_19,start_20,start_21,end_15,end_16,end_17,end_18,end_19,end_20,end_21
# session 20260716_101627 | arm=left | target=20 samples | started
back,20260716_101627,0.47,0.088120,0.071929,0.487159,1.281461,0.441631,0.088755,-0.055787,0.093513,0.039284,0.486919,1.250806,0.441691,0.091212,-0.055835
# session 20260716_101627 | 1 samples saved | avg quality 0.47 | ended
# session 20260716_103155 | arm=left | target=20 samples | started
left,20260716_103155,1.00,-0.105545,0.089127,0.331148,0.150498,-0.038601,-0.125870,-0.153818,-0.027072,0.158695,1.587466,0.111393,-0.030620,-0.144206,-0.252867
up,20260716_103155,0.93,-0.027240,0.150953,1.587490,0.117062,-0.030584,-0.148473,-0.252639,-0.188236,0.481119,0.780449,-0.515897,-0.090709,-0.087041,0.118440
forward,20260716_103155,0.99,-0.176528,0.468847,0.661014,-0.429503,-0.090828,-0.080019,0.118344,-0.353798,0.655645,0.681986,0.906834,-0.101255,-0.105413,0.118560
right,20260716_103155,0.93,-0.320866,0.648490,0.679997,0.936759,-0.101219,-0.176216,0.118428,-0.137124,0.288736,-0.586484,0.072361,-0.156214,-0.139820,0.334791
back,20260716_103155,0.60,-0.135925,0.237000,-0.673645,0.072924,-0.135182,-0.170955,0.244658,0.749278,0.330813,-0.060928,-0.398020,0.006292,-0.256379,-0.196889
down,20260716_103155,0.94,0.786333,0.369989,0.052838,-0.476960,-0.317798,-0.283091,-0.212876,0.081613,0.180423,0.130604,1.211773,-0.236041,-0.201910,0.045264
left,20260716_103155,0.99,0.080198,0.181753,0.131179,1.211629,-0.206812,-0.201059,0.062989,-0.061503,0.511379,1.508922,0.390482,-0.204810,0.032226,-0.034191
forward,20260716_103155,0.93,-0.060832,0.474947,1.507484,0.390674,-0.204595,-0.022399,-0.034191,-0.660762,0.447779,0.329518,0.926201,-0.013039,-0.068526,0.041753
back,20260716_103155,0.64,-0.669139,0.363829,0.328488,0.936687,0.021787,-0.097048,0.040231,0.344199,0.180818,0.144602,-0.465204,-0.084573,-0.126086,-0.403904
up,20260716_103155,0.67,0.655070,0.041238,-0.023705,-0.650672,-0.029637,0.172141,0.204595,-1.830039,0.649389,0.199094,0.857184,0.044545,0.144745,0.079000
down,20260716_103155,0.95,-1.895341,0.608990,0.191364,0.858778,0.034143,0.335750,0.074134,0.018396,0.204858,-0.213679,1.174214,0.398368,0.005453,0.164064
right,20260716_103155,0.86,0.020529,0.168235,-0.091703,1.219311,0.157772,0.099122,0.161104,-0.083099,0.821698,1.646573,0.664417,0.164903,0.200508,0.061407
left,20260716_103155,0.73,-0.040051,0.847237,1.744663,0.704876,0.164232,0.200388,0.185012,-0.061623,0.823244,1.772850,0.662069,0.157401,0.117577,-0.013338
forward,20260716_103155,0.89,-0.081625,0.803722,1.564660,0.661709,0.157593,0.118344,-0.013998,-0.647376,0.317582,0.101446,0.662416,0.180039,0.004758,0.426866
back,20260716_103155,0.73,-0.647520,0.203492,0.097911,0.807773,0.178841,-0.132150,0.431408,0.855710,0.317474,-0.101159,-0.463106,-0.222895,-0.554690,0.071198
down,20260716_103155,1.00,0.737413,0.312285,-0.084585,-0.511139,-0.228503,-0.430497,0.071750,0.027815,0.122107,0.269597,1.445549,0.213439,0.203324,0.072517
right,20260716_103155,0.96,0.023992,0.099960,0.269561,1.445525,0.213427,0.203228,0.072564,-0.271179,0.335702,-0.743082,-0.123761,-0.276332,0.235178,0.070491
up,20260716_103155,0.82,-0.257014,0.365231,-0.848531,-0.123845,-0.275517,0.234459,0.070671,-1.911628,1.099133,-0.228108,1.291708,-0.030332,-0.048596,0.073236
forward,20260716_103155,0.96,-2.032728,0.963915,-0.336901,1.289539,0.096761,-0.410759,0.073715,-0.574188,0.603957,-0.296753,0.704541,-0.626883,-0.060125,0.215968
back,20260716_103155,0.89,-0.511858,0.610812,-0.233573,0.697254,-0.618901,-0.214602,0.215225,0.681219,0.531285,-0.142301,-0.705415,-0.204175,-0.140911,0.257277
# session 20260716_103155 | 20 samples saved | avg quality 0.87 | ended
# session 20260716_104814 | arm=left | target=20 samples | started
up,20260716_104814,0.93,-0.421162,0.139197,0.214278,0.239169,0.157976,-0.036025,-0.034970,-2.178768,0.371127,0.269310,0.857363,0.376137,0.147897,-0.034778
back,20260716_104814,0.90,-2.003774,0.516185,0.269585,0.734262,0.375478,0.110411,-0.034886,0.792373,0.217130,-0.022698,-0.725285,-0.081637,-0.005489,-0.035150
left,20260716_104814,0.98,0.910717,0.216998,0.026293,-0.802991,-0.081960,0.005357,-0.035174,-0.024735,0.762940,1.430677,0.737401,-0.081924,0.014860,-0.034083
forward,20260716_104814,0.95,0.039955,0.609182,1.429802,0.736946,-0.079659,-0.128207,-0.034119,-0.883297,0.159774,0.366382,0.850736,0.252615,0.156286,-0.034131
right,20260716_104814,0.91,-0.829117,0.139233,0.367101,0.896120,0.252508,0.000683,0.040495,-0.620843,-0.038302,-0.927363,0.111705,-0.410699,0.337775,0.030991
down,20260716_104814,0.74,-0.608930,0.060436,-0.865728,0.029050,-0.431228,0.357094,-0.187086,-0.071486,0.174119,-0.035174,1.397349,-0.335331,-0.275182,-0.131263
right,20260716_104814,0.98,0.088192,0.177978,-0.035054,1.406948,-0.335834,-0.274726,-0.131167,-0.527689,-0.058028,-0.558057,-0.134235,-0.099205,0.510636,-0.135518
forward,20260716_104814,0.97,-0.494925,-0.022135,-0.552700,-0.134091,-0.098990,0.480771,-0.135494,-0.768680,0.129537,0.134331,1.052431,-0.012296,-0.092410,0.013386
up,20260716_104814,0.97,-0.766128,0.129861,0.135074,1.052155,-0.015280,-0.171626,0.061371,-2.281725,0.543389,0.113443,0.816929,0.016406,0.315904,0.059550
back,20260716_104814,0.78,-2.178253,0.570833,0.113371,0.817816,0.016550,0.187050,0.059454,0.812830,0.218796,-0.122119,-0.535875,-0.208406,-0.392759,-0.059166
down,20260716_104814,1.00,0.655777,0.216783,-0.067208,-0.786872,-0.253766,0.108949,-0.135314,0.088000,0.211426,-0.140371,1.407571,-0.039296,-0.254569,-0.133672
left,20260716_104814,0.96,0.065170,0.200137,-0.062917,1.405498,-0.038230,-0.254689,0.031662,-0.256343,0.955394,0.897367,0.896947,-0.568160,0.112987,0.030871
down,20260716_104814,0.95,-0.267068,0.844660,0.857963,0.855734,-0.491761,0.058819,0.030716,-0.055643,0.091943,0.475977,1.424553,0.450739,-0.194432,0.031051
up,20260716_104814,0.99,-0.011888,0.108553,0.475954,1.424205,0.450775,-0.194396,0.031075,-2.482388,0.490898,0.300852,0.975756,0.331592,0.216938,0.031794
